Version,LineCount,Threads,Run,TaskClock,Cycles,Instructions,CacheMisses,ContextSwitches,MinorFaults,MajorFaults,ElapsedTime,CPUUtilization,MaxRSS,MaxCharTime
V0,1000000,4,8,2767.46,4226319911,12950330524,28808282,0,422208,0,2.160358599,32.03,1704472,0.210584
V0,1000000,4,9,2788.66,4181526814,12948551511,28818626,0,422206,0,2.170836251,32.12,1704476,0.206748
V0,1000000,8,1,2882.20,4281084545,12965901292,28722030,0,422217,0,2.070617276,17.40,1704472,0.116235
V0,1000000,8,10,2872.54,4242108868,12966560154,28719760,0,422219,0,2.059770795,17.43,1704472,0.116058
V0,1000000,8,2,2864.67,4239394341,12966394701,28699954,0,422217,0,2.052638080,17.45,1704472,0.116289
V0,1000000,8,3,2815.22,4183816501,12967569466,28740595,0,422218,0,2.004906844,17.55,1704476,0.115985
V0,1000000,8,4,2847.03,4202888559,12966335390,28720132,0,422219,0,2.035554585,17.48,1704472,0.115648
V0,1000000,8,5,2820.77,4215651562,12966972351,28686708,0,422219,0,2.010946870,17.53,1704472,0.118385
V0,1000000,8,6,3126.76,4217062278,12967073606,28711136,0,422218,0,2.322118117,16.83,1704476,0.116922
V0,1000000,8,7,2866.03,4221422515,12966240420,28684427,0,422219,0,2.056641373,17.42,1704476,0.118325
V0,1000000,8,8,2878.82,4249278536,12966250981,28736320,0,422218,0,2.064340875,17.43,1704476,0.116280
V0,1000000,8,9,2822.73,4216506639,12966917502,28678641,0,422219,0,2.016874094,17.49,1704472,0.118084
V0,100000,1,1,257.39,400000582,1291538895,2846510,0,42635,0,0.258057983,99.74,172160,0.078507
V0,100000,1,10,271.54,402594149,1291538892,2847287,0,42633,0,0.272195000,99.76,172160,0.078464
V0,100000,1,2,270.80,399258936,1291538922,2847674,0,42634,0,0.271786975,99.64,172160,0.079177
V0,100000,1,3,266.62,403088852,1291538911,2847387,0,42635,0,0.267444461,99.69,172160,0.078652
V0,100000,1,4,257.97,398137889,1291538905,2847751,0,42634,0,0.258971125,99.61,172000,0.078462
V0,100000,1,5,259.86,400000138,1291538995,2847266,0,42634,0,0.260593628,99.72,172160,0.078470
V0,100000,1,6,271.07,399776688,1291538893,2849882,0,42635,0,0.271858963,99.71,172160,0.079157
V0,100000,1,7,264.62,401365319,1291538913,2846564,0,42634,0,0.265352364,99.72,172160,0.080477
V0,100000,1,8,271.55,401027853,1291538912,2848622,0,42635,0,0.272170116,99.77,172160,0.079502
V0,100000,1,9,273.53,402404299,1291538922,2847028,0,42633,0,0.274333943,99.71,172160,0.078565
V0,100000,16,1,381.67,609943987,1336868447,2622186,0,42666,0,0.205044334,11.63,171840,0.010522
V0,100000,16,10,379.08,609849848,1335775602,2629550,0,42666,0,0.203169051,11.66,171840,0.010432
V0,100000,16,2,376.67,605917186,1336959333,2613134,0,42666,0,0.201530239,11.68,171840,0.010385
V0,100000,16,3,369.88,609563685,1337318701,2632146,0,42665,0,0.193385593,11.95,171840,0.010534
V0,100000,16,4,378.20,605819301,1334260745,2621052,0,42666,0,0.203227932,11.63,173832,0.010862
V0,100000,16,5,368.13,607878929,1336949117,2628913,0,42666,0,0.192378824,11.96,171840,0.010383
