TotalTime(s),TimeStdDev(%),CPUUtil(%),CPUStdDev(%),MaxRSS(KB)
3.866,10.91%,0.290,0.49%,522880
4.442,8.13%,0.253,1.10%,522880
1.5336,2.72%,0.977,1.16%,63688
1.749,7.12%,0.926,0.84%,63688
